year,commodity,guilders
1718,paper,3.2
1719,paper,3.2
1720,paper,3.1
1721,paper,3.1
1722,paper,3.21
1723,paper,4
1724,paper,4
1725,paper,4
1726,paper,4
1727,paper,4
1728,paper,4
1729,paper,5
1730,paper,5.5
1731,paper,5.5
1732,paper,5.5
1733,paper,5.5
1734,paper,5.5
1735,paper,5.5
1736,paper,5.5
1737,paper,5.25
1738,paper,5.25
1739,paper,5.25
1740,paper,5.25
1741,paper,5.25
1742,paper,5.25
1743,paper,5.25
1744,paper,5.25
1745,paper,5.25
1746,paper,5.25
1747,paper,5.25
1748,paper,5.25
1749,paper,5.25
1750,paper,5.25
1751,paper,5.25
1752,paper,5.25
1753,paper,5.25
1754,paper,5.25
1755,paper,5.25
1756,paper,5.25
1757,paper,5.25
1758,paper,5.25
1759,paper,5.25
1760,paper,5.25
1761,paper,5.25
1762,paper,5.25
1763,paper,5.25
